# theta	rot	rot+v2dm
-1.570796327	-23.85776018	-24.79256252
-1.5393804	-23.86095421	-24.79121261
-1.507964474	-23.8661898	-24.78859854
-1.476548547	-23.87343315	-24.78537433
-1.445132621	-23.8826403	-24.78215076
-1.413716694	-23.89375754	-24.77928148
-1.382300768	-23.90672194	-24.77688838
-1.350884841	-23.92146185	-24.77495621
-1.319468915	-23.93789752	-24.77342533
-1.288052988	-23.95594178	-24.7722237
-1.256637061	-23.97550069	-24.77128677
-1.225221135	-23.99647431	-24.77056971
-1.193805208	-24.01875745	-24.77002035
-1.162389282	-24.04224039	-24.76959435
-1.130973355	-24.06680973	-24.76926765
-1.099557429	-24.09234911	-24.76901847
-1.068141502	-24.11873999	-24.76883056
-1.036725576	-24.1458624	-24.76869261
-1.005309649	-24.17359567	-24.76859225
-0.9738937226	-24.20181912	-24.76853202
-0.9424777961	-24.23041269	-24.76850292
-0.9110618695	-24.25925757	-24.76850316
-0.879645943	-24.28823679	-24.76852767
-0.8482300165	-24.31723566	-24.7685776
-0.8168140899	-24.3461423	-24.76864948
-0.7853981634	-24.374848	-24.76874386
-0.7539822369	-24.40324758	-24.76886086
-0.7225663103	-24.43123966	-24.76899912
-0.6911503838	-24.45872691	-24.76916449
-0.6597344573	-24.48561624	-24.76935761
-0.6283185307	-24.51181887	-24.7695781
-0.5969026042	-24.53725048	-24.7698313
-0.5654866776	-24.56183117	-24.77012053
-0.5340707511	-24.58548551	-24.77045203
-0.5026548246	-24.60814246	-24.7708332
-0.471238898	-24.62973532	-24.7712732
-0.4398229715	-24.65020163	-24.77178374
-0.408407045	-24.66948304	-24.77238035
-0.3769911184	-24.68752522	-24.77308306
-0.3455751919	-24.70427771	-24.77391296
-0.3141592654	-24.71969378	-24.77489475
-0.2827433388	-24.73373034	-24.77606066
-0.2513274123	-24.7463478	-24.77744762
-0.2199114858	-24.75751	-24.77909458
-0.1884955592	-24.76718413	-24.78103321
-0.1570796327	-24.77534068	-24.78328137
-0.1256637061	-24.7819534	-24.78578914
-0.09424777961	-24.78699937	-24.78840083
-0.06283185307	-24.79045896	-24.79076446
-0.03141592654	-24.79231597	-24.79233737
1.387778781e-16	-24.79255769	-24.79256252
0.03141592654	-24.79117507	-24.79121261
0.06283185307	-24.78816286	-24.78859854
0.09424777961	-24.78351979	-24.78537433
0.1256637061	-24.77724883	-24.78215076
0.1570796327	-24.76935735	-24.77928148
0.1884955592	-24.75985744	-24.77688838
0.2199114858	-24.74876609	-24.77495621
0.2513274123	-24.73610553	-24.77342533
0.2827433388	-24.72190338	-24.7722237
0.3141592654	-24.70619299	-24.77128677
0.3455751919	-24.6890136	-24.77056971
0.3769911184	-24.67041058	-24.77002035
0.408407045	-24.6504356	-24.76959435
0.4398229715	-24.62914675	-24.76926765
0.471238898	-24.60660864	-24.76901847
0.5026548246	-24.58289249	-24.76883056
0.5340707511	-24.55807607	-24.76869261
0.5654866776	-24.5322437	-24.76859225
0.5969026042	-24.50548608	-24.76853202
0.6283185307	-24.47790014	-24.76850292
0.6597344573	-24.44958881	-24.76850316
0.6911503838	-24.42066065	-24.76852767
0.7225663103	-24.39122954	-24.7685776
0.7539822369	-24.36141417	-24.76864948
0.7853981634	-24.33133759	-24.76874386
0.8168140899	-24.3011266	-24.76886086
0.8482300165	-24.27091114	-24.76899912
0.879645943	-24.2408236	-24.76916449
0.9110618695	-24.2109981	-24.76935761
0.9424777961	-24.18156969	-24.7695781
0.9738937226	-24.1526736	-24.7698313
1.005309649	-24.12444435	-24.77012053
1.036725576	-24.09701491	-24.77045203
1.068141502	-24.07051585	-24.7708332
1.099557429	-24.04507446	-24.7712732
1.130973355	-24.02081392	-24.77178374
1.162389282	-23.99785238	-24.77238035
1.193805208	-23.97630224	-24.77308306
1.225221135	-23.95626927	-24.77391296
1.256637061	-23.93785193	-24.77489475
1.288052988	-23.92114065	-24.77606066
1.319468915	-23.90621719	-24.77744762
1.350884841	-23.89315409	-24.77909458
1.382300768	-23.88201413	-24.78103321
1.413716694	-23.87284995	-24.78328137
1.445132621	-23.86570367	-24.78578914
1.476548547	-23.86060665	-24.78840083
1.507964474	-23.8575793	-24.79076446
1.5393804	-23.85663102	-24.79233737
1.570796327	-23.85776018	-24.79256252
